title,location,year,odometer,price,link
2024 Toyota RAV4,"Waitakere, Auckland ",2024,"1,000km","$46,390",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4750592488?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2019 Toyota RAV4,NA                  ,2019,"65,752km","$34,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4749924713?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2021 Toyota RAV4,"Auckland, Auckland  ",1000,"32,782km","$41,980",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4749856132?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"24,641km","$46,488",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4749085138?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"62,508km","$42,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4749085135?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"43,236km","$43,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4748224708?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"24,312km","$36,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4748132882?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"23,464km","$46,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4748132834?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"50,203km","$33,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4748094477?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2019 Toyota RAV4,"Papakura, Auckland  ",2019,"72,700km","$35,988",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4748076005?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"29,425km","$40,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4747653861?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2019 Toyota RAV4,Another quality South Auckland Motors vehicle!,2019,"66,499km","$30,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4746557322?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"21,252km","$47,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4746466396?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
