title,location,year,odometer,price,link
2018 Honda CR-V,"Newmarket, Auckland ",2018,"27,272km 1498cc, Petrol, Automatic","$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4703648244?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2019 Honda CR-V,"Newmarket, Auckland ",2019,"55,428km 1498cc, Petrol, Automatic","$35,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4703648098?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2022 Honda CR-V,NA                  ,2022,"13,174km 1500cc, Petrol, Automatic","$34,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4701816379?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2021 Honda CR-V,"Christchurch, Canterbury",2021,"24,595km 1498cc, Petrol, Automatic","$44,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4701302062?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2020 Honda CR-V,NA                  ,2020,"18,605km 1500cc, Petrol, Automatic","$37,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4697582167?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2020 Honda CR-V,"Christchurch, Canterbury",2020,"30,498km 1498cc, Petrol, Automatic","$44,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4696465485?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2021 Honda CR-V,"Newmarket, Auckland ",2021,"28,774km 1496cc, Petrol, Automatic","$38,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4690464061?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2023 Honda CR-V,"Christchurch, Canterbury",2023,"19,197km 1496cc, Petrol, Automatic","$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4688252511?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2023 Honda CR-V,"Christchurch, Canterbury",2023,"39,555km 1496cc, Petrol, Automatic","$42,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4688252385?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2018 Honda CR-V,"Christchurch, Canterbury",2018,"76,089km 1498cc, Petrol, Automatic","$33,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4673208396?rsqid=93c69e58b93b456c8a7c9b602269ab8e-001
2021 Honda CR-V,NA                  ,2021,"44,000km 1500cc, Petrol, Automatic","$38,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4669284490?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Christchurch, Canterbury",2020,"38,026km 1498cc, Petrol, Automatic","$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4662204434?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2022 Honda CR-V,"Wellington, Wellington",2022,"25,397km 1496cc, Petrol, Automatic","$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4662204404?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,NA                  ,2020,"59,449km 1500cc, Petrol, Automatic","$28,490",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4660840763?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2021 Honda CR-V,NA                  ,2021,"54,986km 1496cc, Petrol, Automatic","$31,999",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4656149970?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2024 Honda CR-V,"Wellington, Wellington",2024,"10km 1993cc, Hybrid, Automatic","$67,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4641689684?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2019 Honda CR-V,"Wellington, Wellington",2019,One owner! Low km's! 3 year warranty!,"$33,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944653?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Wellington, Wellington",2020,"52,101km 1498cc, Petrol, Automatic","$39,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944650?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2021 Honda CR-V,"Wellington, Wellington",2021,"47,048km 1498cc, Petrol, Automatic","$31,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944566?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2022 Honda CR-V,"Wellington, Wellington",2022,"35,381km 1496cc, Petrol, Automatic","$39,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944520?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
